month,row_count,distinct_geohashes
2020-01,1676399,2400
2020-02,1494436,2402
2020-03,1696021,2403
2020-04,1597784,2403
2020-05,1669074,2403
2020-06,1513332,2404
2020-07,1715687,2402
2020-08,1708815,2400
2020-09,1657972,2407
2020-10,1707499,2406
2020-11,1597739,2405
2020-12,1691158,2407
2021-01,1676071,2405
2021-02,1511950,2401
2021-03,1692055,2442
2021-04,1583100,2403
2021-05,1675702,2404
2021-06,1351493,5009
2021-07,1732046,2447
2021-08,1749429,2446
2021-09,1677111,2445
2021-10,1681477,2446
2021-11,1688559,2449
2021-12,1726862,2446
2022-01,1712770,2448
2022-02,1566682,2448
2022-03,1744335,2448
2022-04,1595797,2447
2022-05,1677948,2448
2022-06,1472550,2447
2022-07,1746679,2448
2022-08,1759804,2448
2022-09,1696925,2448
2022-10,1689622,2449
2022-11,1677167,2446
2022-12,1729132,2452
2023-01,1737740,2451
2023-02,1576068,2454
2023-03,1679947,2457
2023-04,1611921,2455
2023-05,1604158,2454
2023-06,1600837,2456
2023-07,1653404,2456
2023-08,1526798,2457
2023-09,1640769,2456
2023-10,1558411,2455
2023-11,1524215,2456
2023-12,1528665,2458
2024-01,957453,2455
2024-02,1597848,2458
2024-03,1745209,2457
2024-04,1613448,2458
2024-05,1659879,2459
2024-06,1546301,2457
2024-07,1777494,2459
2024-08,1720457,2457
2024-09,1716507,2460
2024-10,1769643,2458
2024-11,1710138,2458
2024-12,1266396,2457
2025-01,1763963,2458
